"","artist","on_board"
"735","Richard Groove Holmes",1
"736","Richard Harris",3
"737","Rick Nelson",8
"738","Rita Coolidge",1
"739","Rita Pavone",1
"740","Robert Goulet",2
"741","Robert John",1
"742","Robert Knight",3
"743","Robert Maxwell His Harp And Orchestra",2
"744","Robert Mitchum",1
"745","Robert Parker",2
"746","Robin Ward",1
"747","Rock & Roll Double Bubble",1
"748","Roddie Joy",1
"749","Roger Miller",15
"750","Roger Williams",8
"751","Romeo & Juliet Soundtrack",1
"752","Ronnie Dove",20
"753","Ronny And The Daytonas",5
"754","Rosco Robinson",1
"755","Round Robin",1
"756","Roy Clark",1
"757","Roy Head",3
"758","Roy Head And The Traits",3
"759","Roy Orbison",12
"760","Roy Orbison And The Candy Men",1
"761","Ruby And The Romantics",4
"762","Ruby Andrews",3
"763","Ruby Winters",2
"764","Rufus & Carla",2
"765","Rufus Thomas",4
"766","Sagittarius",2
"767","Sally Field",1
"768","Sam & Bill",2
"769","Sam & Dave",13
"770","Sam Cooke",12
"771","Sam The Sham and the Pharaohs",9
"772","Sammy Davis Jr.",4
"773","Sammy Kaye And His Orchestra",1
"774","San Remo Golden Strings",1
"775","Sandie Shaw",3
"776","Sandy Nelson",1
"777","Sandy Posey",5
"778","Santana",1
"779","Santo & Johnny",1
"780","Sarah Vaughan",1
"781","Savoy Brown",1
"782","Scott English",1
"783","Scott McKenzie",2
"784","Senator Bobby & Senator McKinley",1
"785","Senator Bobby Featuring Bill Minkin",1
"786","Senator Everett McKinley Dirksen",1
"787","Sergio Mendes & Brasil '66",10
"788","Shades Of Blue",2
"789","Shadows Of Knight",2
"790","Shango",1
"791","Shannon",1
"792","Sharpees",1
"793","Shelby Flint",1
"794","Shirley Bassey",1
"795","Shirley Ellis",6
"796","Shorty Long",3
"797","Simon & Garfunkel",10
"798","Simon Stokes/Nighthawks",1
"799","Sir Douglas Quintet",4
"800","Siw Malmkvist-Umberto Marcato",1
"801","Skeeter Davis",3
"802","Slim Harpo",1
"803","Sly & The Family Stone",8
"804","Small Faces",2
"805","Smith",1
"806","Smokey Robinson & The Miracles",11
"807","Solomon Burke",15
"808","Sonny",2
"809","Sonny & Cher",14
"810","Sonny Charles & The Checkmates, Ltd.",1
"811","Sonny James",6
"812","Sonny Knight",2
"813","Soul Brothers Six",1
"814","Soul Sisters",2
"815","Soul Survivors",3
"816","Sounds Orchestral",2
"817","Soupy Sales",1
"818","Southwest F.O.B.",1
"819","Spanky And Our Gang",9
"820","Spiral Starecase",2
"821","Spirit",1
"822","Spyder Turner",2
"823","SSgt Barry Sadler",2
"824","Stan Getz/Astrud Gilberto",1
"825","Steam",1
"826","Steppenwolf",6
"827","Steve & Eydie",1
"828","Steve Alaimo",3
"829","Steve Greenberg",1
"830","Steve Lawrence",2
"831","Stevie Wonder",16
"832","Stone Poneys Featuring Linda Ronstadt",1
"833","Strawberry Alarm Clock",5
"834","Sue Thompson",1
"835","Sugar Pie DeSanto",1
"836","Sunny & The Sunliners",1
"837","Supremes & Temptations",2
"838","Susan Christie",1
"839","Swingin' Medallions",1
"840","Syl Johnson",3
"841","Syndicate Of Sound",2
"842","Tamiko Jones with Herbie Mann",1
"843","Tammi Terrell",3
"844","Tammy Wynette",4
"845","Ted Taylor",1
"846","Terry Black",1
"847","Terry Knight and The Pack",1
"848","Terry Stafford",2
"849","The 4 Seasons",8
"850","The 4 Seasons Featuring the Sound of Frankie Valli",17
"851","The 5th Dimension",11
"852","The Abbey Tavern Singers",1
"853","The Ad Libs",2
"854","The Amboy Dukes",1
"855","The American Breed",5
"856","The Angels",1
"857","The Animals",10
"858","The Arbors",4
"859","The Archies",4
"860","The Arrows Featuring Davie Allan",1
"861","The Artistics",2
"862","The Association",11
"863","The Astors",1
"864","The Avant-Garde",1
"865","The Bachelors",9
"866","The Baja Marimba Band",1
"867","The Ballads",1
"868","The Balloon Farm",1
"869","The Baltimore And Ohio Marching Band",1
"870","The Banana Splits",1
"871","The Band",2
"872","The Bar-Kays",1
"873","The Barbarians",2
"874","The Baskerville Hounds",1
"875","The Beach Boys",27
"876","The Beatles",56
"877","The Beatles With Billy Preston",2
"878","The Beatles With Tony Sheridan",2
"879","The Beau Brummels",5
"880","The Bermudas",1
"881","The Blades Of Grass",1
"882","The Blendells",1
"883","The Blues Project",1
"884","The Box Tops",9
"885","The Brass Ring featuring Phil Bodner",2
"886","The Brooklyn Bridge",1
"887","The Brooklyn Bridge Featuring Johnny Maestro",2
"888","The Brothers Four",1
"889","The Bubble Puppy",1
"890","The Buckinghams",7
"891","The Buena Vistas",2
"892","The Buffalo Springfield",5
"893","The Butterflys",1
"894","The Byrds",15
"895","The C.O.D.'s",1
"896","The Candymen",1
"897","The Capitols",3
"898","The Caravelles",2
"899","The Carefrees",1
"900","The Cascades",2
"901","The Casinos",1
"902","The Castaways",1
"903","The Chad Mitchell Trio",1
"904","The Chambers Brothers",3
"905","The Changin' Times",1
"906","The Charles Randolph Grean Sounde",1
"907","The Chartbusters",2
"908","The Checkmates, Ltd.",1
"909","The Checkmates, Ltd. featuring Sonny Charles",1
"910","The Cherry People",1
"911","The Chi-lites",2
"912","The Chicago Loop",1
"913","The Chiffons",6
"914","The Choir",1
"915","The Clique",2
"916","The Coasters",1
"917","The Contours",5
"918","The Cookies",1
"919","The Cowsills",8
"920","The Crampton Sisters",1
"921","The Crazy World Of Arthur Brown",1
"922","The Crescents Featuring Chiyo",1
"923","The Critters",4
"924","The Cryan' Shames",5
"925","The Crystal Mansion",1
"926","The Crystals",2
"927","The Cuff Links",2
"928","The Cyrkle",6
"929","The Dave Clark Five",24
"930","The Delfonics",8
"931","The Dells",11
"932","The Detergents",2
"933","The Devotions",1
"934","The Diplomats",1
"935","The Dixie Cups",5
"936","The Dixie Drifter",1
"937","The Dixiebelles",1
"938","The Dolphins",1
"939","The Doors",9
"940","The Drew-Vels",1
"941","The Drifters",12
"942","The Duprees",1
"943","The Duprees featuring Joey Vann",2
"944","The Dynamics",2
"945","The Dynatones",1
"946","The Easybeats",2
"947","The Edwin Hawkins' Singers Featuring: Dorothy Combs Morrison",1
"948","The Electric Indian",2
