,artist,rank,song,stay,week
331,Marvin Gaye,32,Can I Get A Witness,16,1964-01-25
332,The Tams,33,What Kind Of Fool (Do You Think I Am),14,1964-01-25
333,The Cookies,34,Girls Grow Up Faster Than Boys,11,1964-01-25
334,Jerry Butler,35,Need To Belong,11,1964-01-25
335,Al (He's the King) Hirt,36,Java,16,1964-01-25
336,Cliff Richard,37,It's All In The Game,13,1964-01-25
337,Mary Wells,38,What's Easy For Two Is So Hard For One,17,1964-01-25
338,Steve & Eydie,39,I Can't Stop Talking About You,9,1964-01-25
339,Henry Mancini And His Orchestra,40,Charade,11,1964-01-25
340,Dion Di Muci,41,Drip Drop,11,1964-01-25
341,The Miracles,42,I Gotta Dance To Keep From Crying,10,1964-01-25
342,Roy Orbison,43,Pretty Paper,7,1964-01-25
343,Dean And Jean,44,Tra La La La Suzy,13,1964-01-25
344,The Baja Marimba Band,45,Comin' In The Back Door,9,1964-01-25
345,Connie Francis,46,In The Summer Of His Years,6,1964-01-25
346,Chubby Checker,47,Loddy Lo,13,1964-01-25
347,Patti LaBelle And The Blue Belles,48,You'll Never Walk Alone,8,1964-01-25
348,Bob And Earl,49,Harlem Shuffle,11,1964-01-25
349,Sammy Davis Jr.,50,The Shelter Of Your Arms,17,1964-01-25
350,Betty Everett,51,You're No Good,10,1964-01-25
351,The Girlfriends,52,"My One And Only, Jimmy Boy",7,1964-01-25
352,The Chad Mitchell Trio,53,The Marvelous Toy,9,1964-01-25
353,Ginny Arnell,54,Dumb Head,12,1964-01-25
354,Tony Bennett,55,The Little Boy,9,1964-01-25
355,Dale Ward,56,Letter From Sherry,11,1964-01-25
356,Rick Nelson,57,Today's Teardrops,9,1964-01-25
357,The Marvelettes,58,As Long As I Know He's Mine,13,1964-01-25
358,Brooks O'Dell,59,Watch Your Step,9,1964-01-25
359,The Shirelles,60,Tonight You're Gonna Fall In Love With Me,5,1964-01-25
360,The Dixiebelles,61,"Southtown, U.S.A.",8,1964-01-25
361,Otis Redding,62,Pain In My Heart,11,1964-01-25
362,Fats Domino,63,Who Cares,5,1964-01-25
363,Tommy Roe,64,Come On,8,1964-01-25
364,Bobby Goldsboro,65,See The Funny Little Clown,13,1964-01-25
365,Dale & Grace,66,Stop And Think It Over,9,1964-01-25
366,Burl Ives,67,True Love Goes On And On,6,1964-01-25
367,Gloria Lynne,68,I Wish You Love,12,1964-01-25
368,The Beatles,69,She Loves You,15,1964-01-25
369,The Rivieras,70,California Sun,10,1964-01-25
370,Gene Pitney,71,That Girl Belongs To Yesterday,7,1964-01-25
371,Anna King,72,If Somebody Told You,6,1964-01-25
372,James Brown And The Famous Flames,73,Oh Baby Don't You Weep (Part 1),10,1964-01-25
373,Barbara Lewis,74,Snap Your Fingers,5,1964-01-25
374,The Crescents Featuring Chiyo,75,Pink Dominos,10,1964-01-25
375,Skeeter Davis,76,He Says The Same Things To Me,7,1964-01-25
376,Dusty Springfield,77,I Only Want To Be With You,10,1964-01-25
377,The Exciters,78,Do-Wah-Diddy,4,1964-01-25
378,Jimmy Velvet,79,We Belong Together,7,1964-01-25
379,Santo & Johnny,80,I'll Remember (In The Still Of The Night),7,1964-01-25
380,Barbara Lewis,81,Puppy Love,12,1964-01-25
381,Brook Benton,82,Going Going Gone,7,1964-01-25
382,Timmy Shaw,83,Gonna Send You Back To Georgia (A City Slick),7,1964-01-25
383,Lloyd Price,84,Billie Baby,3,1964-01-25
384,Lefty Frizzell,85,"Saginaw, Michigan",5,1964-01-25
385,Pete Seeger,86,Little Boxes,8,1964-01-25
386,Frank Sinatra,87,Stay With Me,3,1964-01-25
387,The Angels,88,Wow Wow Wee (He's The Boy For Me),7,1964-01-25
388,Betty Harris,89,His Kiss,4,1964-01-25
389,Diane Renay,90,Navy Blue,12,1964-01-25
390,The Pixies Three,91,442 Glenwood Avenue,7,1964-01-25
391,Bobby Vee,92,Stranger In Your Arms,3,1964-01-25
392,Sam Cooke,93,Good News,10,1964-01-25
393,The Duprees featuring Joey Vann,94,(It's No) Sin,5,1964-01-25
394,Johnny Crawford,95,Judy Loves Me,3,1964-01-25
395,Jim and Monica,96,Slipin' And Slidin',2,1964-01-25
